City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1,Rikitea,PF,78.73,light rain,-23.1203,-134.9692,Pension Maro'i
5,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Dwarka,IN,79.32,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
10,Atuona,PF,80.47,broken clouds,-9.8,-139.0333,Villa Enata
11,Jamestown,US,75.2,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Bosaso,SO,81.27,clear sky,11.2842,49.1816,Red Sea Hotel
20,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Jertih,MY,78.8,few clouds,5.7336,102.4897,One Utama Hotel
26,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
27,Guane,CU,85.33,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
34,Mahebourg,MU,78.8,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
35,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
38,Nueva Loja,EC,87.8,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
39,Bandarbeyla,SO,78.64,clear sky,9.4942,50.8122,JABIR HOTEL
42,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Veraval,IN,78.78,clear sky,20.9,70.3667,Lords Inn Somnath
48,Paraiso,CR,78.8,broken clouds,9.8383,-83.8656,Rinconcito Verde
51,Hilo,US,75.2,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
65,Mozarlandia,BR,81.59,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
66,Ruwi,OM,82.4,clear sky,23.5996,58.5507,Al Falaj Hotel
78,Kavieng,PG,81.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
79,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
80,Sur,OM,80.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
83,Cabadiangan,PH,77.16,scattered clouds,9.7531,122.4739,Kipot
87,Pointe Michel,DM,84.2,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
92,Boueni,YT,77.0,clear sky,-12.9025,45.0761,The feet in water
96,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
97,Tibu,CO,86.72,overcast clouds,8.639,-72.7358,Hotel Yuliana's
98,Saint George,US,81.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
103,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
112,Meulaboh,ID,77.38,broken clouds,4.1363,96.1285,Kost Pria
121,Cidreira,BR,76.12,overcast clouds,-30.1811,-50.2056,Hotel Castelo
122,San Felipe,VE,80.15,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
123,Puerto Suarez,BO,89.6,scattered clouds,-18.95,-57.8,Hotel casa real
124,Salalah,OM,80.6,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
129,Singkang,MY,77.0,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
130,Georgetown,MY,79.0,light rain,5.4112,100.3354,Cititel Penang
139,Guanica,PR,81.0,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
141,Itacare,BR,77.0,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
