City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,3.44,light rain
1,Rikitea,PF,-23.1203,-134.9692,78.73,72,0,10.02,light rain
2,Tiksi,RU,71.6872,128.8694,-14.69,98,41,5.66,scattered clouds
3,Kaitangata,NZ,-46.2817,169.8464,58.75,74,61,3.71,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,64.0,88,0,10.36,clear sky
5,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,65,0,17.27,clear sky
6,Mataura,NZ,-46.1927,168.8643,57.99,95,65,2.46,broken clouds
7,Norman Wells,CA,65.282,-126.8329,-7.6,71,90,9.22,light snow
8,Dwarka,IN,22.2394,68.9678,79.32,73,0,12.68,clear sky
9,Busselton,AU,-33.65,115.3333,62.01,77,100,7.0,light rain
10,Atuona,PF,-9.8,-139.0333,80.47,72,73,16.96,broken clouds
11,Jamestown,US,42.097,-79.2353,75.2,27,1,12.66,clear sky
12,Bosaso,SO,11.2842,49.1816,81.27,52,0,7.27,clear sky
13,Hermanus,ZA,-34.4187,19.2345,61.0,91,100,3.09,overcast clouds
14,Iqaluit,CA,63.7506,-68.5145,23.0,86,90,16.11,overcast clouds
15,Bluff,NZ,-46.6,168.3333,57.99,95,79,5.77,broken clouds
16,Longyearbyen,SJ,78.2186,15.6401,23.0,63,75,20.71,broken clouds
17,Ushuaia,AR,-54.8,-68.3,51.8,62,40,16.11,scattered clouds
18,Ancud,CL,-41.8697,-73.8203,55.99,76,75,11.5,broken clouds
19,Turayf,SA,31.6725,38.6637,48.2,66,0,18.41,clear sky
20,Butaritari,KI,3.0707,172.7902,81.52,78,99,12.01,light rain
21,Jertih,MY,5.7336,102.4897,78.8,94,20,2.3,few clouds
22,Omsukchan,RU,62.5333,155.8,-6.03,94,79,4.94,broken clouds
23,Port Alfred,ZA,-33.5906,26.891,70.18,92,83,3.58,broken clouds
24,Evensk,RU,61.95,159.2333,8.69,76,60,8.99,broken clouds
25,Paramonga,PE,-10.6667,-77.8333,72.3,80,59,7.23,broken clouds
26,Makakilo City,US,21.3469,-158.0858,78.8,47,1,3.44,clear sky
27,Guane,CU,22.2025,-84.0875,85.33,61,71,14.27,broken clouds
28,Dryden,CA,49.7833,-92.7503,41.0,81,90,4.61,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,53.6,54,40,18.41,scattered clouds
30,Port Elizabeth,ZA,-33.918,25.5701,62.6,94,75,2.3,broken clouds
31,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,100,4.61,overcast clouds
32,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,11.5,light intensity drizzle
33,Hobart,AU,-42.8794,147.3294,44.6,76,75,18.41,light rain
34,Mahebourg,MU,-20.4081,57.7,78.8,78,20,11.5,few clouds
35,Grand Gaube,MU,-20.0064,57.6608,80.01,76,100,5.99,overcast clouds
36,Cherskiy,RU,68.75,161.3,-13.49,87,68,1.19,broken clouds
37,Lompoc,US,34.6391,-120.4579,62.6,51,58,16.11,broken clouds
38,Nueva Loja,EC,0.0847,-76.8828,87.8,58,40,3.44,scattered clouds
39,Bandarbeyla,SO,9.4942,50.8122,78.64,71,0,7.9,clear sky
40,Bloomfield,US,40.8068,-74.1854,71.6,49,40,6.91,scattered clouds
41,Ponta Do Sol,PT,32.6667,-17.1,61.0,70,88,1.01,overcast clouds
42,Vaini,TO,-21.2,-175.2,77.0,83,20,4.61,few clouds
43,Chokurdakh,RU,70.6333,147.9167,-28.35,100,100,1.68,overcast clouds
44,Royan,FR,45.6285,-1.0281,57.2,82,98,9.22,overcast clouds
45,Veraval,IN,20.9,70.3667,78.78,67,0,11.5,clear sky
46,Rosetta,EG,31.4044,30.4164,57.2,54,40,16.11,scattered clouds
47,Camopi,GF,3.1655,-52.3158,74.84,97,100,3.29,overcast clouds
48,Paraiso,CR,9.8383,-83.8656,78.8,65,75,10.36,broken clouds
49,Yellowknife,CA,62.456,-114.3525,10.0,52,20,8.05,few clouds
50,Airai,TL,-8.9266,125.4092,58.01,79,90,2.01,overcast clouds
51,Hilo,US,19.7297,-155.09,75.2,60,20,6.91,few clouds
52,Albany,US,42.6001,-73.9662,78.01,34,10,5.75,clear sky
53,Torbay,CA,47.6666,-52.7314,33.01,93,90,20.71,snow
54,Mar Del Plata,AR,-38.0023,-57.5575,66.99,82,75,17.27,light rain
55,Tuatapere,NZ,-46.1333,167.6833,57.99,95,93,3.22,overcast clouds
56,Sangar,RU,63.9242,127.4739,5.77,90,100,1.48,overcast clouds
57,Kodiak,US,57.79,-152.4072,33.8,69,90,3.44,overcast clouds
58,Carnarvon,AU,-24.8667,113.6333,77.0,94,99,12.66,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,43.0,84,99,6.8,light rain
60,Barrow,US,71.2906,-156.7887,-9.4,70,1,12.66,clear sky
61,Katsuura,JP,35.1333,140.3,50.0,62,20,11.5,few clouds
62,Konstantinovka,RU,49.6167,127.9833,38.3,78,92,11.92,overcast clouds
63,Rio Gallegos,AR,-51.6226,-69.2181,66.2,22,40,16.11,scattered clouds
64,Bethel,US,41.3712,-73.414,70.0,56,90,13.8,overcast clouds
65,Mozarlandia,BR,-14.7447,-50.5706,81.59,61,62,4.36,broken clouds
66,Ruwi,OM,23.5996,58.5507,82.4,69,0,5.75,clear sky
67,Yulara,AU,-25.2406,130.9889,60.8,51,0,11.5,clear sky
68,Esperance,AU,-33.8667,121.9,57.2,88,97,9.22,overcast clouds
69,Hovd,MN,48.0056,91.6419,30.38,63,100,3.87,overcast clouds
70,Qaanaaq,GL,77.484,-69.3632,19.38,81,100,5.59,overcast clouds
71,La Ronge,CA,55.1001,-105.2842,39.2,52,86,10.36,overcast clouds
72,Jutai,BR,-5.1833,-68.9,84.31,68,95,2.01,moderate rain
73,Luderitz,NA,-26.6481,15.1594,73.94,51,0,5.46,clear sky
74,Uyuni,BO,-20.4597,-66.825,61.99,10,8,8.34,clear sky
75,Mount Isa,AU,-20.7333,139.5,71.6,43,30,12.66,scattered clouds
76,Hasaki,JP,35.7333,140.8333,41.0,87,20,4.61,few clouds
77,Mercedes,AR,-34.6515,-59.4307,70.0,99,100,3.0,moderate rain
78,Kavieng,PG,-2.5744,150.7967,81.19,75,100,10.29,overcast clouds
79,Kapaa,US,22.0752,-159.319,75.2,60,75,9.22,broken clouds
80,Sur,OM,22.5667,59.5289,80.47,63,1,10.96,clear sky
81,Muros,ES,42.7762,-9.0603,55.99,85,100,12.26,overcast clouds
82,Wagar,SD,16.1525,36.2032,81.82,27,1,15.08,clear sky
83,Cabadiangan,PH,9.7531,122.4739,77.16,84,49,5.95,scattered clouds
84,Broome,US,42.2506,-75.833,72.0,37,1,8.05,clear sky
85,Saint-Denis,FR,48.9167,2.3333,50.0,100,75,3.44,mist
86,Bani Walid,LY,31.7566,13.9942,55.09,76,96,14.43,overcast clouds
87,Pointe Michel,DM,15.25,-61.3833,84.2,61,20,5.75,few clouds
88,Kuusamo,FI,65.9667,29.1833,23.0,68,0,5.75,clear sky
89,Westport,US,41.1415,-73.3579,66.99,67,90,6.91,overcast clouds
90,Pevek,RU,69.7008,170.3133,-18.06,95,85,1.88,overcast clouds
91,Yeniseysk,RU,58.4497,92.1703,25.16,95,20,2.86,few clouds
92,Boueni,YT,-12.9025,45.0761,77.0,94,0,2.3,clear sky
93,Lavrentiya,RU,65.5833,-171.0,-3.5,79,100,16.51,overcast clouds
94,Ostersund,SE,63.1792,14.6357,30.2,69,43,12.66,scattered clouds
95,Nyurba,RU,63.2842,118.3319,6.78,92,100,8.48,overcast clouds
96,Tautira,PF,-17.7333,-149.15,86.0,66,75,6.91,light rain
97,Tibu,CO,8.639,-72.7358,86.72,62,91,3.22,overcast clouds
98,Saint George,US,37.1041,-113.5841,81.0,9,1,10.33,clear sky
99,Dikson,RU,73.5069,80.5464,15.13,94,87,17.63,overcast clouds
100,Riyadh,SA,24.6877,46.7219,95.0,12,40,4.61,scattered clouds
101,Dicabisagan,PH,17.0818,122.4157,74.41,81,94,5.19,overcast clouds
102,Svetlyy,RU,54.675,20.1347,39.2,81,0,4.47,clear sky
103,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,8.05,volcanic ash
104,Poronaysk,RU,49.2167,143.1167,32.2,78,16,1.01,few clouds
105,Nouadhibou,MR,20.931,-17.0347,68.0,73,42,18.41,scattered clouds
106,Yumen,CN,40.2833,97.2,48.25,53,80,12.71,broken clouds
107,Zhezkazgan,KZ,47.8043,67.7144,39.56,71,9,26.15,clear sky
108,Rorvik,NO,64.8621,11.2373,39.81,63,69,13.58,broken clouds
109,Lusambo,CD,-4.9667,23.45,72.14,87,100,3.94,overcast clouds
110,Tura,IN,25.5198,90.2201,72.79,68,0,4.92,clear sky
111,Hefei,CN,31.8639,117.2808,55.4,88,91,4.47,light rain
112,Meulaboh,ID,4.1363,96.1285,77.38,87,71,3.96,broken clouds
113,Fortuna,US,40.5982,-124.1573,57.99,62,75,18.41,broken clouds
114,Ketchikan,US,55.3422,-131.6461,37.4,93,90,6.91,light rain
115,Barro,BR,-6.7167,-38.8667,79.25,60,94,4.27,overcast clouds
116,Kyotera,UG,-0.6156,31.5175,63.88,87,100,4.81,overcast clouds
117,Qidong,CN,31.8128,121.6561,59.0,90,100,5.99,overcast clouds
118,Provideniya,RU,64.3833,-173.3,0.93,79,100,22.03,overcast clouds
119,Margate,GB,51.3813,1.3862,41.0,81,100,7.0,light rain
120,Ordynskoye,RU,54.3656,81.8994,30.6,96,91,8.03,overcast clouds
121,Cidreira,BR,-30.1811,-50.2056,76.12,76,100,9.24,overcast clouds
