City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2021-04-07 23:19:28,-17.7125,-39.2481,73.65,87,99,12.82
1,Menongue,AO,2021-04-07 23:19:29,-14.6585,17.691,62.46,69,74,3.04
2,Barrow,US,2021-04-07 23:19:29,71.2906,-156.7887,-18.4,63,90,10.36
3,Provideniya,RU,2021-04-07 23:19:29,64.3833,-173.3,3.2,66,0,8.95
4,Bogo,PH,2021-04-07 23:19:30,11.0517,124.0055,79.29,74,85,6.62
5,Rio De Jesus,PA,2021-04-07 23:19:30,7.9844,-81.1631,83.37,64,98,6.78
6,Lavrentiya,RU,2021-04-07 23:19:30,65.5833,-171.0,-1.41,78,50,5.95
7,Hobart,AU,2021-04-07 23:19:31,-42.8794,147.3294,64.4,59,0,10.36
8,Padang,ID,2021-04-07 23:19:31,-0.9492,100.3543,75.2,100,40,2.3
9,Anjiang,CN,2021-04-07 23:19:31,27.3194,110.1031,51.84,96,64,3.0
10,Upernavik,GL,2021-04-07 23:18:08,72.7868,-56.1549,-2.63,94,17,5.95
11,Jamestown,US,2021-04-07 23:19:32,42.097,-79.2353,69.8,46,1,9.22
12,Mosquera,CO,2021-04-07 23:16:23,4.7059,-74.2302,57.2,82,40,5.75
13,Bethel,US,2021-04-07 23:19:32,41.3712,-73.414,66.2,34,1,10.36
14,Sola,VU,2021-04-07 23:19:33,-13.8833,167.55,86.0,79,40,4.7
15,Kapaa,US,2021-04-07 23:19:33,22.0752,-159.319,77.0,65,75,21.85
16,Bluff,NZ,2021-04-07 23:19:33,-46.6,168.3333,60.01,80,25,5.99
17,Shar,KZ,2021-04-07 23:19:34,49.5886,81.0453,36.93,93,30,2.66
18,Port Alfred,ZA,2021-04-07 23:19:34,-33.5906,26.891,66.9,89,82,10.76
19,Ahipara,NZ,2021-04-07 23:14:54,-35.1667,173.1667,69.46,61,35,0.81
20,Malchevskaya,RU,2021-04-07 23:19:34,49.0552,40.3625,48.61,92,55,8.57
21,Batetskiy,RU,2021-04-07 23:19:35,58.6461,30.3027,29.8,93,76,3.38
22,Busselton,AU,2021-04-07 23:15:38,-33.65,115.3333,55.99,91,68,1.99
23,Punta Arenas,CL,2021-04-07 23:18:01,-53.15,-70.9167,50.0,71,0,12.66
24,Rikitea,PF,2021-04-07 23:15:36,-23.1203,-134.9692,76.93,60,0,8.46
25,Udachnyy,RU,2021-04-07 23:19:36,66.4167,112.4,14.52,95,100,7.87
26,Mar Del Plata,AR,2021-04-07 23:15:39,-38.0023,-57.5575,71.6,83,41,11.5
27,East London,ZA,2021-04-07 23:19:36,-33.0153,27.9116,66.81,78,58,10.6
28,Changtu,CN,2021-04-07 23:19:36,42.7788,124.0955,40.23,22,2,7.27
29,Lebu,CL,2021-04-07 23:15:31,-37.6167,-73.65,56.21,89,0,4.03
30,Saint George,US,2021-04-07 23:15:14,37.1041,-113.5841,81.0,7,1,4.61
31,Nanortalik,GL,2021-04-07 23:19:37,60.1432,-45.2371,35.29,86,44,4.9
32,Nome,US,2021-04-07 23:19:37,64.5011,-165.4064,6.8,56,1,12.66
33,Fukue,JP,2021-04-07 23:19:38,32.6881,128.8419,59.0,77,0,5.95
34,Dikson,RU,2021-04-07 23:15:32,73.5069,80.5464,6.75,88,100,5.61
35,Codrington,AU,2021-04-07 23:19:38,-38.2667,141.9667,66.72,43,42,10.47
36,Ilhabela,BR,2021-04-07 23:19:39,-23.7781,-45.3581,73.33,82,38,13.06
37,Araouane,ML,2021-04-07 23:19:39,18.9048,-3.5265,85.1,11,0,7.16
38,Magadan,RU,2021-04-07 23:19:39,59.5667,150.8,15.4,71,17,5.61
39,Gamba,GA,2021-04-07 23:19:40,-2.65,10.0,78.42,90,49,5.3
40,Nikolskoye,RU,2021-04-07 23:19:40,59.7035,30.7861,32.0,86,0,1.99
